location,lat,lng,date,time_start,mode,volume
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:45:00,vehicle,258.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:00:00,ped,113.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:00:00,bike,3.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:00:00,vehicle,195.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:15:00,ped,110.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:15:00,bike,1.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:15:00,vehicle,237.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:30:00,ped,118.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:30:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:30:00,vehicle,242.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:45:00,ped,118.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:45:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T11:45:00,vehicle,240.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:00:00,ped,99.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:00:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:00:00,vehicle,188.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:15:00,ped,93.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:15:00,bike,2.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:15:00,vehicle,211.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:30:00,ped,75.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:30:00,bike,1.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:30:00,vehicle,236.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:45:00,ped,84.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:45:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T13:45:00,vehicle,231.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:00:00,ped,79.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:00:00,bike,1.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:00:00,vehicle,216.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:15:00,ped,92.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:15:00,bike,1.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:15:00,vehicle,234.0
